longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.371907,42.407034,1.21,2013-07-24 18:39:36+00,1,128,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371948,42.407037,1.21,2013-07-24 18:39:35+00,1,109,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371982,42.407045,1.41,2013-07-24 18:39:34+00,1,77,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.372007,42.407054,1.61,2013-07-24 18:39:33+00,1,51,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372021,42.407062,1.81,2013-07-24 18:39:32+00,1,37,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372026,42.407068,2.31,2013-07-24 18:39:31+00,1,39,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372034,42.407076,2.31,2013-07-24 18:39:30+00,1,39,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372037,42.407084,1.81,2013-07-24 18:39:29+00,1,39,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.372043,42.407093,3.41,2013-07-24 18:39:28+00,1,55,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372046,42.407104,3.01,2013-07-24 18:39:27+00,1,71,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372048,42.40712,4.41,2013-07-24 18:39:26+00,1,74,180,9.74,0,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407137,4.01,2013-07-24 18:39:25+00,1,74,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407154,5.21,2013-07-24 18:39:24+00,1,75,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407173,7.21,2013-07-24 18:39:23+00,1,75,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.40719,7.21,2013-07-24 18:39:22+00,1,75,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407207,6.61,2013-07-24 18:39:21+00,1,74,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407226,8.51,2013-07-24 18:39:20+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.17
-85.372051,42.407243,6.81,2013-07-24 18:39:19+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.372054,42.407262,5.41,2013-07-24 18:39:18+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.372054,42.407279,6.11,2013-07-24 18:39:17+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.372057,42.407298,5.61,2013-07-24 18:39:16+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.372057,42.407315,5.31,2013-07-24 18:39:15+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.372057,42.407334,4.91,2013-07-24 18:39:14+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949
-85.372057,42.407351,4.11,2013-07-24 18:39:13+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949
-85.372057,42.40737,5.61,2013-07-24 18:39:12+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949
-85.372057,42.407387,5.61,2013-07-24 18:39:11+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.42
-85.372057,42.407407,5.61,2013-07-24 18:39:10+00,1,77,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.42
-85.372057,42.407426,6.81,2013-07-24 18:39:09+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.42
-85.372057,42.407443,6.51,2013-07-24 18:39:08+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.42
-85.372057,42.407462,6.61,2013-07-24 18:39:07+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372057,42.407479,6.71,2013-07-24 18:39:06+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407498,7.21,2013-07-24 18:39:05+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407515,7.21,2013-07-24 18:39:04+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407534,7.31,2013-07-24 18:39:03+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407551,6.71,2013-07-24 18:39:02+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.40757,7.71,2013-07-24 18:39:01+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407587,7.01,2013-07-24 18:39:00+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
-85.372059,42.407607,7.11,2013-07-24 18:38:59+00,1,76,180,9.74,1,10,5648,F1: T2R1-East,L1: ,Wheat (Sft Rd Wtr),949.83
