longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.371109,42.408063,1.59,2013-07-24 17:16:32+00,1,130,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947
-85.371151,42.408063,1.69,2013-07-24 17:16:31+00,1,128,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947
-85.371193,42.408066,1.69,2013-07-24 17:16:30+00,1,111,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371229,42.408066,1.69,2013-07-24 17:16:29+00,1,90,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371259,42.408068,1.79,2013-07-24 17:16:28+00,1,77,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371282,42.408074,1.79,2013-07-24 17:16:27+00,1,77,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371307,42.408077,1.99,2013-07-24 17:16:26+00,1,77,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371326,42.408088,1.69,2013-07-24 17:16:25+00,1,76,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.42
-85.371346,42.408099,1.69,2013-07-24 17:16:24+00,1,76,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371359,42.408113,1.69,2013-07-24 17:16:23+00,1,76,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371371,42.408127,1.59,2013-07-24 17:16:22+00,1,75,180,11.32,0,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371379,42.408143,1.39,2013-07-24 17:16:21+00,1,75,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371382,42.40816,2.59,2013-07-24 17:16:20+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371384,42.408177,3.09,2013-07-24 17:16:19+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),947.83
-85.371384,42.408196,3.09,2013-07-24 17:16:18+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371384,42.408213,3.09,2013-07-24 17:16:17+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371387,42.408232,3.59,2013-07-24 17:16:16+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371387,42.408249,3.59,2013-07-24 17:16:15+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
-85.371387,42.408268,3.19,2013-07-24 17:16:14+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
-85.37139,42.408285,3.19,2013-07-24 17:16:13+00,1,76,180,11.32,1,13,5648,F1: T1R2-West,L1: ,Wheat (Sft Rd Wtr),948.17
