longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.369423,42.406012,1.29,2013-07-24 18:05:22+00,1,128,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),942.5
-85.369384,42.406012,1.29,2013-07-24 18:05:21+00,1,128,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),942.92
-85.369342,42.406012,0.79,2013-07-24 18:05:20+00,1,114,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),942.92
-85.369306,42.406018,1.19,2013-07-24 18:05:19+00,1,93,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.33
-85.369278,42.406029,1.59,2013-07-24 18:05:18+00,1,79,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.369256,42.406043,1.09,2013-07-24 18:05:17+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.369245,42.406054,1.59,2013-07-24 18:05:16+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.369237,42.406068,2.09,2013-07-24 18:05:15+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.369228,42.406081,2.49,2013-07-24 18:05:14+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.369223,42.406095,2.69,2013-07-24 18:05:13+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.406112,2.49,2013-07-24 18:05:12+00,1,66,180,10.9,0,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.406129,3.59,2013-07-24 18:05:11+00,1,66,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.406143,4.19,2013-07-24 18:05:10+00,1,66,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.406159,4.49,2013-07-24 18:05:09+00,1,66,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.406173,4.29,2013-07-24 18:05:08+00,1,66,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.75
-85.36922,42.40619,4.69,2013-07-24 18:05:07+00,1,66,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),944
-85.36922,42.406204,4.69,2013-07-24 18:05:06+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),944
-85.36922,42.40622,4.19,2013-07-24 18:05:05+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),944
-85.36922,42.406237,4.39,2013-07-24 18:05:04+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.36922,42.406251,4.29,2013-07-24 18:05:03+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.36922,42.406268,4.29,2013-07-24 18:05:02+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.36922,42.406281,4.79,2013-07-24 18:05:01+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.36922,42.406298,5.29,2013-07-24 18:05:00+00,1,64,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.369223,42.406312,4.49,2013-07-24 18:04:59+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.369223,42.406329,4.89,2013-07-24 18:04:58+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.369223,42.406343,4.69,2013-07-24 18:04:57+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.67
-85.369223,42.406359,5.29,2013-07-24 18:04:56+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.25
-85.369223,42.406373,5.09,2013-07-24 18:04:55+00,1,64,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.25
-85.369226,42.40639,4.79,2013-07-24 18:04:54+00,1,65,180,10.9,1,22,5648,F1: T1R3-West,L1: ,Wheat (Sft Rd Wtr),943.25
