longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.368575,42.410598,6.49,2013-07-24 16:56:21+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368575,42.410614,6.19,2013-07-24 16:56:20+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368575,42.410631,5.09,2013-07-24 16:56:19+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368575,42.410648,5.59,2013-07-24 16:56:18+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368575,42.410664,5.39,2013-07-24 16:56:17+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368575,42.410681,6.19,2013-07-24 16:56:16+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368575,42.410698,6.19,2013-07-24 16:56:15+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.410714,5.79,2013-07-24 16:56:14+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.410734,7.29,2013-07-24 16:56:13+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.410751,6.89,2013-07-24 16:56:12+00,1,71,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.410767,5.79,2013-07-24 16:56:11+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.410784,5.89,2013-07-24 16:56:10+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410801,5.49,2013-07-24 16:56:09+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410817,5.29,2013-07-24 16:56:08+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410834,5.69,2013-07-24 16:56:07+00,1,68,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
